"Title","01.2.2 Non-alcoholic beverages Mineral water and soft drinks CP NSA £m"
"CDID","CDCV"
"Source dataset ID","CT"
"PreUnit",""
"Unit",""
"Release date","31-03-2026"
"Next release","30 June 2026"
"Important notes",
"1985","1916"
"1986","2182"
"1987","2424"
"1988","2677"
"1989","2990"
"1990","3313"
"1991","3428"
"1992","3483"
"1993","3528"
"1994","3556"
"1995","3679"
"1996","3842"
"1997","3941"
"1998","4443"
"1999","4933"
"2000","5121"
"2001","5544"
"2002","5491"
"2003","6070"
"2004","6297"
"2005","6600"
"2006","6861"
"2007","6998"
"2008","7250"
"2009","7354"
"2010","7247"
"2011","7660"
"2012","7675"
"2013","7593"
"2014","7713"
"2015","7372"
"2016","7571"
"2017","7780"
"2018","8130"
"2019","8609"
"2020","8992"
"2021","9639"
"2022","10934"
"2023","11949"
"2024","12317"
"2025","12993"
"1985 Q1","368"
"1985 Q2","524"
"1985 Q3","522"
"1985 Q4","502"
"1986 Q1","404"
"1986 Q2","589"
"1986 Q3","613"
"1986 Q4","576"
"1987 Q1","453"
"1987 Q2","651"
"1987 Q3","646"
"1987 Q4","674"
"1988 Q1","525"
"1988 Q2","729"
"1988 Q3","764"
"1988 Q4","659"
"1989 Q1","547"
"1989 Q2","815"
"1989 Q3","903"
"1989 Q4","725"
"1990 Q1","611"
"1990 Q2","923"
"1990 Q3","1002"
"1990 Q4","777"
"1991 Q1","749"
"1991 Q2","861"
"1991 Q3","990"
"1991 Q4","828"
"1992 Q1","684"
"1992 Q2","1035"
"1992 Q3","941"
"1992 Q4","823"
"1993 Q1","824"
"1993 Q2","970"
"1993 Q3","919"
"1993 Q4","815"
"1994 Q1","774"
"1994 Q2","923"
"1994 Q3","1018"
"1994 Q4","841"
"1995 Q1","790"
"1995 Q2","909"
"1995 Q3","1137"
"1995 Q4","843"
"1996 Q1","842"
"1996 Q2","988"
"1996 Q3","1068"
"1996 Q4","944"
"1997 Q1","896"
"1997 Q2","1012"
"1997 Q3","1045"
"1997 Q4","988"
"1998 Q1","945"
"1998 Q2","1180"
"1998 Q3","1214"
"1998 Q4","1104"
"1999 Q1","1114"
"1999 Q2","1341"
"1999 Q3","1374"
"1999 Q4","1104"
"2000 Q1","1169"
"2000 Q2","1373"
"2000 Q3","1336"
"2000 Q4","1243"
"2001 Q1","1246"
"2001 Q2","1427"
"2001 Q3","1454"
"2001 Q4","1417"
"2002 Q1","1247"
"2002 Q2","1406"
"2002 Q3","1466"
"2002 Q4","1372"
"2003 Q1","1309"
"2003 Q2","1590"
"2003 Q3","1690"
"2003 Q4","1481"
"2004 Q1","1443"
"2004 Q2","1651"
"2004 Q3","1593"
"2004 Q4","1610"
"2005 Q1","1504"
"2005 Q2","1759"
"2005 Q3","1760"
"2005 Q4","1577"
"2006 Q1","1588"
"2006 Q2","1739"
"2006 Q3","1867"
"2006 Q4","1667"
"2007 Q1","1601"
"2007 Q2","1839"
"2007 Q3","1865"
"2007 Q4","1693"
"2008 Q1","1692"
"2008 Q2","1953"
"2008 Q3","1886"
"2008 Q4","1719"
"2009 Q1","1680"
"2009 Q2","2006"
"2009 Q3","1872"
"2009 Q4","1796"
"2010 Q1","1704"
"2010 Q2","1982"
"2010 Q3","1837"
"2010 Q4","1724"
"2011 Q1","1798"
"2011 Q2","1955"
"2011 Q3","1986"
"2011 Q4","1921"
"2012 Q1","1869"
"2012 Q2","1982"
"2012 Q3","1920"
"2012 Q4","1904"
"2013 Q1","1841"
"2013 Q2","1848"
"2013 Q3","1946"
"2013 Q4","1958"
"2014 Q1","1891"
"2014 Q2","1951"
"2014 Q3","1932"
"2014 Q4","1939"
"2015 Q1","1755"
"2015 Q2","1840"
"2015 Q3","1897"
"2015 Q4","1880"
"2016 Q1","1828"
"2016 Q2","1879"
"2016 Q3","1951"
"2016 Q4","1913"
"2017 Q1","1822"
"2017 Q2","1941"
"2017 Q3","2048"
"2017 Q4","1969"
"2018 Q1","1860"
"2018 Q2","2025"
"2018 Q3","2171"
"2018 Q4","2074"
"2019 Q1","1973"
"2019 Q2","2179"
"2019 Q3","2299"
"2019 Q4","2158"
"2020 Q1","2062"
"2020 Q2","2337"
"2020 Q3","2359"
"2020 Q4","2234"
"2021 Q1","2182"
"2021 Q2","2443"
"2021 Q3","2503"
"2021 Q4","2511"
"2022 Q1","2396"
"2022 Q2","2751"
"2022 Q3","2902"
"2022 Q4","2885"
"2023 Q1","2720"
"2023 Q2","3160"
"2023 Q3","3054"
"2023 Q4","3015"
"2024 Q1","2824"
"2024 Q2","3238"
"2024 Q3","3205"
"2024 Q4","3050"
"2025 Q1","2876"
"2025 Q2","3404"
"2025 Q3","3406"
"2025 Q4","3307"
